"","."
"1","Minutes and By-Laws"
"2","""Archives"""
"3","Communications"
"4","Members"
"5","Officers"
"6","Curators"
"7","Library"
"8","Committees"
"9","Financial Records"
"10","Meetings"
"11","Miscellaneous"
"12","History"
"13","Wistar Association"
"14","I 
						Minutes and By-Laws"
"15","The Archives contains minutes of both the American Society and the American Philosophical Society, which united in 1769 to form the American Philosophical Society, held at Philadelphia, for Promoting Useful Knowledge. The records of the first-named give its title variously as American Society for Promoting and Propagating Useful Knowledge, held at Philadelphia; and American Society held at Philadelphia for Promoting Useful Knowledge. For convenience, it is referred to here as the American Society. In addition, the Archives has minutes of a predecessor of the American Society, which was sometimes called the ""Young Junto,"" but is here identified by the binder's title as the ""Junto."""
"16","II.1 
						""Archives"""
"17","This record group contains every sort of material relating to the business of the Society, such as drafts of minutes, committee reports, letters of officers and others, memoranda, scientific papers and proposals, orders, receipts, and other material. The papers from 1797-1844 may be of particular interest to scholars of American Indian ethnology, history, and linguistics.Due to the size of the ""Archives"" record group, the content has been divided into multiple inventories. Please follow the links below to browse the contents.
                        
                                            
                                                APS Archives. Record Group IIa1743-18061.0 section
                                            
                                                APS Archives. Record Group IIb1807-18251.0 section
                                            
                                                APS Archives. Record Group IIc1826-18361.0 section
                                            
                                                APS Archives. Record Group IId1837-18441.0 section
                                            
                                                APS Archives. Record Group IIe1845-18651.0 section
                                            
                                                APS Archives. Record Group IIf1866-18861.0 section
                                            
                                                APS Archives. Record Group IIg1887-18911.0 section
                                            
                                                APS Archives. Record Group IIh1892-18961.0 section
                                            
                                                APS Archives. Record Group IIi18971.0 section
                                            
                                                APS Archives. Record Group IIj1898-1988, Undated1.0 sectionNative American Images note : Four folders containing up to 275 pencil and ink sketches, from 1816-1840, of Cherokee, Choctaw, Adena, and Aztec native culture. Primarily of burial mounds located in Lexington, Kentucky; Grave Creek, West Virginia; and Washington, Mississippi. Of particular note, a printed pictograph of Boturini Codex depicting the Aztec journey from Aztlan to the Valley of Mexico. Also known as Tira de la Peregrinacion, it contains 22 pages in black ink on one sheet folded accordion style. Each folder is noted in APS Freeman Guide to manuscripts relating to the American Indian."
"18","III 
						Communications"
"19","III.1 
						Manuscript communications"
"20","A portion of the APS Archives, the Manuscript Communications (III.1) consists of letters and papers on a variety of topics sent to the APS between the 1770s and 1830s. Many of the papers were read at meetings of the Society, some were published in the APS 
                            Transactions, and others were submitted for consideration for the premiums offered by the APS for best paper on the topic of education.Once part of the general APS Archives, the Manuscript Communications were separated at an early date, arranged in chronological order, and bound into volumes under seven topical series: 
                            Mechanics, Machinery, and EngineeringTrade, Navigation, Manufactures, Agriculture, EconomicsMedicine, Anatomy, PhysiologyNatural HistoryTrade, Commerce, Navigation, Manufactures, Agriculture, Husbandry and EconomicsNatural PhilosophyMathematics and Astronomy"
"21","III.2 
						Verbal communications"
"22","Notes of observations, discoveries, publications, and other facts communicated to the Society by members. Among them are reports by Robert Patterson, Benjamin H. Latrobe (on bilious and noxious gas in wells), Caspar Wistar, John Wister (on tree growth), Thomas Gilpin (on placing rafters), Johnathan Williams, and Benjamin S. Barton; also extracts from letters to Barton from Sir Joseph Banks, Peter Curtis, and Richard P. Barton; and extracts from letters from James Winthrop to Francis Nichols, from Thomas Cooper to John Vaughan, and from John Clifford to Caspar Wistar; and also James Wright's description of the Mastodon, copied from 
                            Philadelphia Medical and Physical Journal1, (1804): p. 154."
"23","IV 
						Members"
"24","This record group consists of 13 sub-groups which documents the membership of the Society. It contains such items as letters of nomination (IV.2), letters acknowledging election (IV.3), membership rolls (IV.6), membership certificates (IV.11), and a photograph album (IV.12)."
"25","V 
						Officers"
"26","Contains records for various officers of the Society (president, secretary, executive officer, treasurer, and officers and council). This record group does not contain the records for all the Society's presidents and officers. However, it does provide an account of the operation of the Society to the early twentieth century."
"27","V.1 
						President"
"28","V.2 
						Secretary"
"29","V.3 
						Executive Office"
"30","V.4 
						Treasurer"
"31","V.5 
						Officers and Council"
"32","VI 
						Curators"
"33","Documents donations to the Society's cabinet of curiosity, as well as other artifacts."
"34","VII 
						Library"
"35","Consists of 14 sub-groups which document through correspondence, minutes, reports, record books and catalogues the development and routine business of the Society's Library and its collections. Additionally, there are records which relate to the building of Library Hall in the late 1950s."
"36","VII.1 
						Librarian"
"37","VII.2 
						Collections"
"38","VII.3 
						Library. General correspondence and records"
"39","Files of selected professionals in the Library (e.g. Gertrude D. Hess, Carolyn Milligan) who were involved in administrative duties relating to the operation of the Library, and who had contacts outside of the Library."
"40","VII.4 
						Library Committee"
"41","VII.5 
						Library Administration"
"42","VII.6 
						Conservation Department"
"43","VII.7 
						Manuscript Department"
"44","VII.8 
						Printed Materials Department"
"45","VII.9 
						Building and facilities"
"46","VII.10 
						Exhibits"
"47","VII.11 
						Conferences"
"48","VII.12 
						Publications"
"49","VII.13 
						Friends of the Library"
"50","VII.14 
						Financial Records"
"51","VII.15 
						Miscellaneous Records"
"52","VIII 
						Committees"
"53","Consists of 36 sub-groups which document the activities of various committees formed over the Society's history to handle specific topics ranging from finance and grants to the Franklin Bicentenary and the construction of Library Hall."
"54","IX 
						Financial Records"
"55","Documents the Society's efforts from the mid-nineteenth through early twentieth centuries to raise funds in order to construct a new building in Philadelphia."
"56","X 
						Meetings"
"57","Contains records relating to the Society's annual meetings during the twentieth century."
"58","X.1 
						Records"
"59","X.2 
						Meetings Videos"
"60","XI 
						Miscellaneous"
"61","This record group consists of items which document the activities of the Society, but do not readily fall into one of the other record groups, and includes such items as the Society's weekly broadcasts during World War II, a register of visitors, and architectural plans of the Society's halls."
"62","XII 
						History"
"63","Consists of four accounts on the early history of the Society."
"64","XIII 
						Wistar Association"
