"","","ILLindicates a copy isavailable for loan","Local Records Categories and Contents"
"1","ReelNo.","","Bonds/Commissions/Oaths"
"2","39","ILL","Bond Book, 1, 1896 - 1920, index, 271 p. (includes Fiduciary Bonds)"
"3","39","ILL","Bond Book, 2, 1950 - 1961, index, 300 p."
"4","17","ILL","Bond Book 7, 1974-1979 (includes Administrators' Bonds, Committee Bonds, Guardians' Bonds, Marriage Bonds, and Officials' Bonds), 254 p."
"5","18","ILL","Commissioners' Bond Book, 1909-1911, index, 20 p."
"6","39","ILL","General Index to Bond Books,, Vols. 1-3, 1896 - 1969"
"7","","","FOR ADDITIONAL BONDS/COMMISSIONS/OATHS SEE ALSO FIDUCIARY RECORDS"
"8","ReelNo.","","Business Records/Corporations/Partnerships"
"9","57","ILL","Ship Tavern Ledger and Daybook, 1753 - 1761, 96 p."
"10","ReelNo.","","County Administrative Records"
"11","46","ILL","Board of Supervisors' Minute Book, 1870 - 1906, index, 479 p."
"12","ReelNo.","","Court Records"
"13","","","County Court"
"14","9","ILL","Minute Book CC, 1830 - 1835, p. 19-491"
"15","19","ILL","Minute Book, 1850-1853, pp. 355-541."
"16","9","ILL","Minute Book, 1852 - 1867, Unpaged index, [2], 477 p."
"17","42","ILL","Order, 1712"
"18","8","ILL","Order Book, 1806 - 1809, [1] p., p. 9, 25-356, [1]"
"19","21","ILL","Order Book, 1806 - 1809, [1] p., p. 9, 25-356, [1]"
"20","16","ILL","Order Book, 1825-1827, 254 p., index."
"21","21","ILL","Order Book, 1825-1827, 254 p., index."
"22","5","ILL","Court Records [Deeds, Invs., Etc.] 1680 c, 27(a) fo."
"23","7","ILL","Court Records [Orders], 1664 - 1668, c 94 p."
"24","7","ILL","Court Records [Orders], 1689 - 1693, c 381 p. unpaged index"
"25","42","ILL","Judgments, 1746 , 1773"
"26","59","ILL","Order Book, 1749 - 1755, 374 p."
"27","7 A","ILL","Record Book, 1686-1693/4, 552 p., no index"
"28","8","ILL","Scheme Book L- D [Orders], 1790 - 1793, Unpaged index, [2] p., p. 7-438"
"29","42","ILL","Summons, 1760, 1764, 1768-1769, 1778"
"30","42","ILL","Writs, 1745, 1767 (2)"
"31","","","Circuit Superior Court of Law and Chancery"
"32","19","ILL","Chancery Order Book, 1831-1861, pp. 1-395."
"33","","","Circuit Court"
"34","19","ILL","Chancery Order Book, 1831-1861, pp. 1-395."
"35","40","ILL","Chancery Order Book, 1, 1900 - 1913, index, 596 p."
"36","40","ILL","Chancery Order Book, 2, 1913 - 1917, pp. 1-279"
"37","20","ILL","Chancery Order Book 13, 1970-1972 (continued), pp. 487-602."
"38","19","ILL","Clerk's Order Book, 1904-1921 (concerning Wills Recordation and Fiduciary Accounts), index, 84 p."
"39","21","ILL","Judiciary Orders 1, 1904-1934 (includes Administrators' Bonds, Appraisers' Bonds, Executors' Bonds, and Guardians' Bonds), index, pp. 1-301."
"40","41","ILL","Minute Book, 1865 - 1910, index, 643 p."
"41","41","ILL","Minute Book, 1910 - 1919, index, 600 p."
"42","","","SEE ALSO Circuit Superior Court of Law and Chancery AND Various Courts"
"43","","","Various Courts"
"44","23","ILL","General Index to Judgment Lien Docket, index, paged."
"45","45","ILL","Judgment Lien Docket, 1, 1865 - 1916, index, 116 p."
"46","45","ILL","Judgment Lien Docket, 2, 1916 - 1942, 201 p. Plaintiff index found in front of volume; Defendant index found at end of volume"
"47","22","ILL","Judgment Lien Docket 8, 1982-1983 (continued), pp. 229-306."
"48","ReelNo.","","Fiduciary Records"
"49","42","ILL","Administrator's Account, 1763"
"50","42","ILL","Administrator's Bond, 1763"
